Season;Transfers incoming;Continent;Transfers outgoing;Continent;Number of transfers;Total club-to-club compensation
2021/2022;France;;Wales;;2;0
2021/2022;Faroe Islands;;Denmark;;40;10818,13571
2021/2022;Faroe Islands;;Ghana;;4;0
2021/2022;Faroe Islands;;Iceland;;2;0
2021/2022;Faroe Islands;;Malta;;2;0
2021/2022;Faroe Islands;;Poland;;2;0
2021/2022;Faroe Islands;;Serbia;;4;0
2021/2022;Faroe Islands;;Slovenia;;2;0
2021/2022;Georgia;;Armenia;;4;0
2021/2022;Georgia;;Azerbaijan;;18;0
2021/2022;Georgia;;Belgium;;2;0
2021/2022;Georgia;;Bosnia-Herzegovina;;2;0
2021/2022;Georgia;;Belarus;;2;0
2021/2022;Georgia;;Côte d'Ivoire;;2;0
2021/2022;Georgia;;Cameroon;;2;0
2021/2022;Georgia;;Croatia;;2;0
2021/2022;Georgia;;Cyprus;;4;0
2021/2022;Georgia;;Spain;;8;0
2021/2022;Georgia;;Finland;;8;0
2021/2022;Georgia;;Faroe Islands;;2;0
2021/2022;Georgia;;Greece;;2;0
2021/2022;Georgia;;Hungary;;4;0
2021/2022;Georgia;;Israel;;2;64700,3499
2021/2022;Georgia;;Japan;;2;0
2021/2022;Georgia;;Kazakhstan;;4;0
2021/2022;Georgia;;Latvia;;12;0
2021/2022;Georgia;;Moldova;;10;0
2021/2022;Georgia;;Nigeria;;6;0
2021/2022;Georgia;;New Zealand;;2;0
2021/2022;Georgia;;Poland;;2;0
2021/2022;Georgia;;Portugal;;2;0
2021/2022;Georgia;;Russia;;14;0
2021/2022;Georgia;;Serbia;;2;1210749,284
2021/2022;Georgia;;Slovakia;;4;0
2021/2022;Georgia;;Turkey;;2;0
2021/2022;Georgia;;Ukraine;;8;300
2021/2022;Georgia;;Uzbekistan;;2;0
2021/2022;Germany;;Albania;;2;0
2021/2022;Germany;;Australia;;8;0
2021/2022;Germany;;Austria;;48;23629790,18
2021/2022;Germany;;Belgium;;16;21995282,69
2021/2022;Germany;;Bosnia-Herzegovina;;8;80716,6189
2021/2022;Germany;;Belarus;;2;0
2021/2022;Germany;;Brazil;;8;0
2021/2022;Germany;;Bulgaria;;10;11776545,74
2021/2022;Germany;;Canada;;6;0
2021/2022;Germany;;China PR;;2;0
2021/2022;Germany;;Cameroon;;2;0
2021/2022;Germany;;Croatia;;2;1210749,284
2021/2022;Germany;;Cyprus;;8;201791,5473
2021/2022;Germany;;Czech Republic;;22;36781352,87
2021/2022;Germany;;Denmark;;16;20209423,46
2021/2022;Germany;;Ecuador;;2;0
2021/2022;Germany;;England;;46;123528507,3
2021/2022;Germany;;Spain;;18;605374,6418
2021/2022;Germany;;Finland;;14;10089577,36
2021/2022;Germany;;France;;36;4318339,111
2021/2022;Germany;;Georgia;;2;1614332,378
2021/2022;Germany;;Greece;;22;20582737,82
2021/2022;Germany;;Hungary;;6;0
2021/2022;Germany;;Iran;;2;0
2021/2022;Germany;;Iceland;;2;605374,6418
2021/2022;Germany;;Israel;;10;13116450,57
2021/2022;Germany;;Italy;;18;42455533,04
2021/2022;Germany;;Japan;;8;6962096,411
2021/2022;Germany;;Kazakhstan;;2;0
2021/2022;Germany;;Korea Republic;;4;0
2021/2022;Germany;;Saudi Arabia;;4;0
2021/2022;Germany;;Luxembourg;;6;0
2021/2022;Germany;;Latvia;;2;0
2021/2022;Germany;;Mexico;;2;1210749,284
2021/2022;Germany;;FYR Macedonia;;2;1172536,922
2021/2022;Germany;;Malta;;2;0
2021/2022;Germany;;Netherlands;;32;10644504,12
2021/2022;Germany;;Norway;;10;18322672,49
2021/2022;Germany;;Poland;;26;22570880,37
2021/2022;Germany;;Portugal;;16;17095779,88
2021/2022;Germany;;Romania;;2;1840338,911
2021/2022;Germany;;South Africa;;4;6053746,418
2021/2022;Germany;;Russia;;2;928241,1174
2021/2022;Germany;;Scotland;;6;0
2021/2022;Germany;;Serbia;;4;10594056,23
2021/2022;Germany;;Switzerland;;38;77307847,03
2021/2022;Germany;;Slovakia;;8;1816123,925
2021/2022;Germany;;Slovenia;;2;0
2021/2022;Germany;;Sweden;;8;16748698,42
2021/2022;Germany;;Thailand;;2;0
2021/2022;Germany;;Tunisia;;4;2825081,662
2021/2022;Germany;;Turkey;;26;0
2021/2022;Germany;;United Arab Emirates;;2;0
2021/2022;Germany;;USA;;16;0
2021/2022;Greece;;Albania;;8;0
2021/2022;Greece;;Argentina;;14;90000
2021/2022;Greece;;Australia;;2;0
2021/2022;Greece;;Azerbaijan;;2;0
2021/2022;Greece;;Belgium;;6;0
2021/2022;Greece;;Bosnia-Herzegovina;;2;0
2021/2022;Greece;;Bolivia;;2;0
2021/2022;Greece;;Brazil;;28;0
2021/2022;Greece;;Bulgaria;;14;0
2021/2022;Greece;;China PR;;2;0
2021/2022;Greece;;Côte d'Ivoire;;2;0
2021/2022;Greece;;Cameroon;;2;0
2021/2022;Greece;;Croatia;;6;0
2021/2022;Greece;;Cyprus;;20;0
2021/2022;Greece;;Czech Republic;;6;0
2021/2022;Greece;;Denmark;;2;0
2021/2022;Greece;;England;;26;0
2021/2022;Greece;;Spain;;34;6317084,387
2021/2022;Greece;;Finland;;2;60537,46418
2021/2022;Greece;;France;;28;0
2021/2022;Greece;;Germany;;22;0
2021/2022;Greece;;Ghana;;2;0
2021/2022;Greece;;Hungary;;6;0
2021/2022;Greece;;Iceland;;4;524658,0229
2021/2022;Greece;;Israel;;2;0
2021/2022;Greece;;Italy;;16;3188306,447
2021/2022;Greece;;Kuwait;;2;0
2021/2022;Greece;;Libya;;2;0
2021/2022;Greece;;Lithuania;;2;0
2021/2022;Greece;;Latvia;;2;0
2021/2022;Greece;;Morocco;;2;0
2021/2022;Greece;;Moldova;;2;0
2021/2022;Greece;;Montenegro;;4;3228664,756
2021/2022;Greece;;Netherlands;;10;0
2021/2022;Greece;;Nigeria;;2;0
2021/2022;Greece;;Norway;;2;0
2021/2022;Greece;;Paraguay;;4;60537,46418
2021/2022;Greece;;Poland;;14;0
2021/2022;Greece;;Portugal;;18;2623290,114
2021/2022;Greece;;Qatar;;4;0
2021/2022;Greece;;Romania;;14;0
2021/2022;Greece;;South Africa;;2;0
2021/2022;Greece;;Russia;;4;0
2021/2022;Greece;;Scotland;;6;0
2021/2022;Greece;;Serbia;;10;14380513,86
2021/2022;Greece;;Switzerland;;4;278472,3352
2021/2022;Greece;;Slovakia;;4;0
2021/2022;Greece;;Turkey;;2;4459593,194
2021/2022;Greece;;United Arab Emirates;;4;0
2021/2022;Greece;;Ukraine;;4;0
2021/2022;Greece;;Uruguay;;4;0
2021/2022;Greece;;USA;;4;0
2021/2022;Hungary;;Albania;;4;0
2021/2022;Hungary;;Austria;;14;0
2021/2022;Hungary;;Belgium;;14;0
2021/2022;Hungary;;Bosnia-Herzegovina;;8;0
2021/2022;Hungary;;Brazil;;16;0
2021/2022;Hungary;;Bulgaria;;2;0
2021/2022;Hungary;;China PR;;4;0
2021/2022;Hungary;;Colombia;;6;0
2021/2022;Hungary;;Croatia;;16;40358,30945
2021/2022;Hungary;;Cyprus;;8;0
2021/2022;Hungary;;Czech Republic;;10;121074,9284
2021/2022;Hungary;;Egypt;;2;0
2021/2022;Hungary;;England;;10;0
2021/2022;Hungary;;Spain;;10;0
2021/2022;Hungary;;Finland;;4;0
2021/2022;Hungary;;France;;6;0
2021/2022;Hungary;;Georgia;;4;0
2021/2022;Hungary;;Germany;;2;0
2021/2022;Hungary;;Greece;;10;0
2021/2022;Hungary;;Italy;;8;201791,5473
2021/2022;Hungary;;Kazakhstan;;2;0
2021/2022;Hungary;;Malta;;2;0
2021/2022;Hungary;;Montenegro;;6;0
2021/2022;Hungary;;Netherlands;;22;0
2021/2022;Hungary;;Norway;;4;0
2021/2022;Hungary;;Poland;;2;0
2021/2022;Hungary;;Portugal;;12;0
2021/2022;Hungary;;Romania;;18;0
2021/2022;Hungary;;Scotland;;4;0
2021/2022;Hungary;;Serbia;;18;242149,8567
2021/2022;Hungary;;Switzerland;;10;0
2021/2022;Hungary;;Slovakia;;8;0
2021/2022;Hungary;;Slovenia;;10;0
2021/2022;Hungary;;Tunisia;;2;0
2021/2022;Hungary;;Turkey;;4;0
2021/2022;Hungary;;United Arab Emirates;;2;0
2021/2022;Hungary;;Ukraine;;2;0
2021/2022;Hungary;;Uruguay;;4;600000
2021/2022;Hungary;;Wales;;2;0
2021/2022;Republic of Ireland;;Australia;;2;0
2021/2022;Republic of Ireland;;Belgium;;2;60739,25572
2021/2022;Republic of Ireland;;China PR;;2;0
2021/2022;Republic of Ireland;;England;;36;47024,14785
2021/2022;Republic of Ireland;;Spain;;2;0
2021/2022;Republic of Ireland;;Germany;;2;0
2021/2022;Republic of Ireland;;Iceland;;2;0
2021/2022;Republic of Ireland;;Malta;;2;0
2021/2022;Republic of Ireland;;Northern Ireland;;14;47024,14785
2021/2022;Republic of Ireland;;South Africa;;2;0
2021/2022;Republic of Ireland;;Scotland;;8;0
2021/2022;Republic of Ireland;;USA;;4;0
2021/2022;Iceland;;Australia;;2;0
2021/2022;Iceland;;Bulgaria;;2;0
2021/2022;Iceland;;Denmark;;12;0
2021/2022;Iceland;;England;;20;0
2021/2022;Iceland;;Faroe Islands;;2;0
2021/2022;Iceland;;Germany;;4;0
2021/2022;Iceland;;Netherlands;;2;0
2021/2022;Iceland;;Norway;;24;0
2021/2022;Iceland;;South Africa;;2;0
2021/2022;Iceland;;Scotland;;8;0
2021/2022;Iceland;;Senegal;;2;0
2021/2022;Iceland;;Serbia;;2;0
2021/2022;Iceland;;Slovenia;;4;0
2021/2022;Iceland;;Sweden;;10;0
2021/2022;Iceland;;Wales;;2;0
2021/2022;Israel;;Argentina;;2;0
2021/2022;Israel;;Belgium;;18;4,035830945
2021/2022;Israel;;Bosnia-Herzegovina;;4;90000
2021/2022;Israel;;Bolivia;;4;0
2021/2022;Israel;;Brazil;;8;0
2021/2022;Israel;;Bulgaria;;10;0
2021/2022;Israel;;Croatia;;8;4682583,162
2021/2022;Israel;;Cyprus;;14;201791,5473
2021/2022;Israel;;Ecuador;;2;750000
2021/2022;Israel;;England;;2;0
2021/2022;Israel;;Spain;;4;0
2021/2022;Israel;;Estonia;;2;0
2021/2022;Israel;;France;;6;0
2021/2022;Israel;;Georgia;;2;0
2021/2022;Israel;;Germany;;6;0
2021/2022;Israel;;Ghana;;4;60000
2021/2022;Israel;;Greece;;10;1330088,229
2021/2022;Israel;;Guinea;;2;0
2021/2022;Israel;;Hungary;;6;153361,5759
2021/2022;Israel;;Liberia;;8;18000
2021/2022;Israel;;Lithuania;;6;121074,9284
2021/2022;Israel;;Moldova;;2;0
2021/2022;Israel;;Montenegro;;8;0
2021/2022;Israel;;Namibia;;2;0
2021/2022;Israel;;Netherlands;;6;0
2021/2022;Israel;;Norway;;2;3430456,303
2021/2022;Israel;;Paraguay;;2;0
2021/2022;Israel;;Poland;;8;0
2021/2022;Israel;;Portugal;;2;0
2021/2022;Israel;;South Africa;;4;0
2021/2022;Israel;;Scotland;;2;0
2021/2022;Israel;;Senegal;;4;240000
2021/2022;Israel;;Serbia;;14;262500
2021/2022;Israel;;Turkey;;2;0
2021/2022;Israel;;Ukraine;;4;0
2021/2022;Israel;;Uzbekistan;;2;0
2021/2022;Israel;;Venezuela;;2;0
2021/2022;Italy;;Argentina;;44;170950794,8
2021/2022;Italy;;Australia;;2;0
2021/2022;Italy;;Austria;;4;1059405,623
2021/2022;Italy;;Belgium;;14;0
2021/2022;Italy;;Brazil;;48;95144975,68
2021/2022;Italy;;Bulgaria;;8;0
2021/2022;Italy;;Canada;;2;0
2021/2022;Italy;;Chile;;16;68208909,24
2021/2022;Italy;;Colombia;;2;6750000
2021/2022;Italy;;Croatia;;6;201791,5473
2021/2022;Italy;;Czech Republic;;8;8586245,592
2021/2022;Italy;;Denmark;;10;4154839,12
2021/2022;Italy;;England;;16;9733,998605
2021/2022;Italy;;Spain;;64;177732571
2021/2022;Italy;;Finland;;2;0
2021/2022;Italy;;France;;54;62489737,29
2021/2022;Italy;;Germany;;26;117521123,8
2021/2022;Italy;;Ghana;;2;2382052,254
2021/2022;Italy;;Greece;;28;25172716,82
2021/2022;Italy;;Hungary;;10;5286938,538
2021/2022;Italy;;Israel;;2;6356433,739
2021/2022;Italy;;Saudi Arabia;;2;0
2021/2022;Italy;;Kuwait;;2;0
2021/2022;Italy;;Lithuania;;2;0
2021/2022;Italy;;Malta;;4;0
2021/2022;Italy;;Netherlands;;20;73956602,07
2021/2022;Italy;;Norway;;2;0
2021/2022;Italy;;Paraguay;;12;14700287,19
2021/2022;Italy;;Peru;;4;2368422
2021/2022;Italy;;Poland;;10;1096737,059
2021/2022;Italy;;Portugal;;22;8910690,965
2021/2022;Italy;;Romania;;18;20721645,39
2021/2022;Italy;;Russia;;4;0
2021/2022;Italy;;Scotland;;6;0
2021/2022;Italy;;Serbia;;6;14932574,5
2021/2022;Italy;;Switzerland;;48;53891134,52
2021/2022;Italy;;Slovakia;;2;524658,0229
2021/2022;Italy;;Slovenia;;8;3733143,624
2021/2022;Italy;;Sweden;;20;10214889,91
2021/2022;Italy;;Turkey;;4;0
2021/2022;Italy;;Ukraine;;2;0
2021/2022;Italy;;Uruguay;;22;44214043,49
2021/2022;Italy;;Venezuela;;2;0
2021/2022;Italy;;Wales;;2;0
2021/2022;Kazakhstan;;Azerbaijan;;2;0
2021/2022;Kazakhstan;;Bosnia-Herzegovina;;4;0
2021/2022;Kazakhstan;;Belarus;;14;570000
2021/2022;Kazakhstan;;Brazil;;2;0
2021/2022;Kazakhstan;;Bulgaria;;8;0
2021/2022;Kazakhstan;;Croatia;;10;0
2021/2022;Kazakhstan;;Cyprus;;2;0
2021/2022;Kazakhstan;;Czech Republic;;4;319910,2636
2021/2022;Kazakhstan;;Denmark;;4;0
2021/2022;Kazakhstan;;Spain;;2;0
2021/2022;Kazakhstan;;Georgia;;2;0
2021/2022;Kazakhstan;;Greece;;4;0
2021/2022;Kazakhstan;;Hungary;;8;632129,004
2021/2022;Kazakhstan;;Israel;;4;0
2021/2022;Kazakhstan;;Kyrgyzstan;;4;0
2021/2022;Kazakhstan;;Kuwait;;2;0
2021/2022;Kazakhstan;;Moldova;;14;645000
2021/2022;Kazakhstan;;FYR Macedonia;;4;195000
2021/2022;Kazakhstan;;Malta;;2;0
2021/2022;Kazakhstan;;Montenegro;;4;0
2021/2022;Kazakhstan;;Nigeria;;2;0
2021/2022;Kazakhstan;;Poland;;2;0
2021/2022;Kazakhstan;;Portugal;;4;0
2021/2022;Kazakhstan;;Romania;;4;0
2021/2022;Kazakhstan;;Russia;;18;270000
2021/2022;Kazakhstan;;Serbia;;26;553583,0945
2021/2022;Kazakhstan;;Slovakia;;2;0
2021/2022;Kazakhstan;;Slovenia;;2;0
2021/2022;Kazakhstan;;Tajikistan;;2;0
2021/2022;Kazakhstan;;Turkey;;4;0
2021/2022;Kazakhstan;;United Arab Emirates;;2;0
2021/2022;Kazakhstan;;Ukraine;;22;0
2021/2022;Kazakhstan;;USA;;2;0
2021/2022;Kazakhstan;;Uzbekistan;;8;0
2021/2022;Lithuania;;Argentina;;2;0
2021/2022;Lithuania;;Austria;;4;0
2021/2022;Lithuania;;Azerbaijan;;2;0
2021/2022;Lithuania;;Belgium;;2;0
2021/2022;Lithuania;;Belarus;;4;0
2021/2022;Lithuania;;China PR;;4;0
2021/2022;Lithuania;;Croatia;;6;0
2021/2022;Lithuania;;Estonia;;10;0
2021/2022;Lithuania;;Georgia;;6;0
2021/2022;Lithuania;;Greece;;2;0
2021/2022;Lithuania;;Hungary;;2;0
2021/2022;Lithuania;;Israel;;4;0
2021/2022;Lithuania;;Italy;;4;0
2021/2022;Lithuania;;Latvia;;12;0
2021/2022;Lithuania;;FYR Macedonia;;2;0
2021/2022;Lithuania;;Poland;;10;0
2021/2022;Lithuania;;Portugal;;2;0
2021/2022;Lithuania;;Russia;;6;40358,30945
2021/2022;Lithuania;;Scotland;;10;1786917,618
2021/2022;Lithuania;;Ukraine;;20;6000
2021/2022;Luxembourg;;Belgium;;20;0
2021/2022;Luxembourg;;Bosnia-Herzegovina;;2;0
2021/2022;Luxembourg;;Brazil;;2;0
2021/2022;Luxembourg;;Cameroon;;2;0
2021/2022;Luxembourg;;Cyprus;;2;0
2021/2022;Luxembourg;;France;;18;0
2021/2022;Luxembourg;;Germany;;16;0
2021/2022;Luxembourg;;Montenegro;;2;0
2021/2022;Luxembourg;;Netherlands;;2;0
2021/2022;Luxembourg;;Portugal;;14;0
2021/2022;Latvia;;Azerbaijan;;2;0
2021/2022;Latvia;;Belarus;;2;0
2021/2022;Latvia;;Brazil;;4;0
2021/2022;Latvia;;Bulgaria;;2;0
2021/2022;Latvia;;Croatia;;2;0
2021/2022;Latvia;;Cyprus;;4;0
2021/2022;Latvia;;Hungary;;6;0
2021/2022;Latvia;;Israel;;4;0
2021/2022;Latvia;;Lithuania;;14;0
2021/2022;Latvia;;Moldova;;2;0
2021/2022;Latvia;;Norway;;2;0
2021/2022;Latvia;;Poland;;6;0
2021/2022;Latvia;;Russia;;32;203809,4627
2021/2022;Latvia;;Scotland;;4;0
2021/2022;Latvia;;Ukraine;;14;780206,8383
2021/2022;Latvia;;Uzbekistan;;2;0
2021/2022;Moldova;;Albania;;2;0
2021/2022;Moldova;;Armenia;;4;0
2021/2022;Moldova;;Azerbaijan;;12;0
2021/2022;Moldova;;Belarus;;6;0
2021/2022;Moldova;;Bolivia;;4;270000
2021/2022;Moldova;;Brazil;;4;0
2021/2022;Moldova;;Bulgaria;;8;0
2021/2022;Moldova;;Chile;;2;0
2021/2022;Moldova;;Côte d'Ivoire;;2;0
2021/2022;Moldova;;Czech Republic;;2;242149,8567
2021/2022;Moldova;;Spain;;6;0
2021/2022;Moldova;;Georgia;;10;0
2021/2022;Moldova;;Germany;;4;0
2021/2022;Moldova;;Ghana;;6;240000
2021/2022;Moldova;;Greece;;2;0
2021/2022;Moldova;;Israel;;2;0
2021/2022;Moldova;;Italy;;2;0
2021/2022;Moldova;;Japan;;4;0
2021/2022;Moldova;;Kazakhstan;;12;0
2021/2022;Moldova;;Latvia;;8;0
2021/2022;Moldova;;Mexico;;2;0
2021/2022;Moldova;;FYR Macedonia;;2;0
2021/2022;Moldova;;Malta;;4;0
2021/2022;Moldova;;Montenegro;;6;0
2021/2022;Moldova;;Nigeria;;4;0
2021/2022;Moldova;;Poland;;4;0
2021/2022;Moldova;;Portugal;;8;201791,5473
2021/2022;Moldova;;Romania;;24;807166,189
2021/2022;Moldova;;Russia;;28;30000
2021/2022;Moldova;;Serbia;;6;524658,0229
2021/2022;Moldova;;Sweden;;8;0
2021/2022;Moldova;;Turkey;;2;0
2021/2022;Moldova;;Ukraine;;50;600
2021/2022;Moldova;;Uzbekistan;;14;0
2021/2022;FYR Macedonia;;Albania;;6;0
2021/2022;FYR Macedonia;;Azerbaijan;;2;0
2021/2022;FYR Macedonia;;Bulgaria;;2;0
2021/2022;FYR Macedonia;;Cyprus;;2;0
2021/2022;FYR Macedonia;;Czech Republic;;4;0
2021/2022;FYR Macedonia;;Finland;;2;0
2021/2022;FYR Macedonia;;Germany;;2;0
2021/2022;FYR Macedonia;;Greece;;2;0
2021/2022;FYR Macedonia;;Iran;;2;0
2021/2022;FYR Macedonia;;Kazakhstan;;2;0
2021/2022;FYR Macedonia;;Kosovo;;4;0
2021/2022;FYR Macedonia;;Montenegro;;2;0
2021/2022;FYR Macedonia;;Myanmar;;2;0
2021/2022;FYR Macedonia;;Norway;;2;0
2021/2022;FYR Macedonia;;Poland;;2;0
2021/2022;FYR Macedonia;;Portugal;;2;0
2021/2022;FYR Macedonia;;Romania;;2;0
2021/2022;FYR Macedonia;;Serbia;;34;0
2021/2022;FYR Macedonia;;Turkey;;4;0
2021/2022;FYR Macedonia;;Vietnam;;2;0
2021/2022;Malta;;Albania;;10;0
2021/2022;Malta;;Australia;;2;0
2021/2022;Malta;;Bahrain;;4;0
2021/2022;Malta;;Brazil;;34;0
2021/2022;Malta;;Cyprus;;4;0
2021/2022;Malta;;Denmark;;4;0
2021/2022;Malta;;England;;4;0
2021/2022;Malta;;Spain;;4;0
2021/2022;Malta;;Finland;;2;0
2021/2022;Malta;;Germany;;8;0
2021/2022;Malta;;Greece;;4;0
2021/2022;Malta;;Guatemala;;2;0
2021/2022;Malta;;Hungary;;4;0
2021/2022;Malta;;Israel;;4;0
2021/2022;Malta;;Italy;;12;0
2021/2022;Malta;;Kazakhstan;;2;0
2021/2022;Malta;;Kenya;;2;0
2021/2022;Malta;;Libya;;2;0
2021/2022;Malta;;Lebanon;;2;0
2021/2022;Malta;;Latvia;;6;0
2021/2022;Malta;;Moldova;;2;0
2021/2022;Malta;;FYR Macedonia;;2;0
2021/2022;Malta;;Poland;;2;0
2021/2022;Malta;;Portugal;;6;0
2021/2022;Malta;;Scotland;;2;0
2021/2022;Malta;;Serbia;;2;0
2021/2022;Malta;;Switzerland;;2;0
2021/2022;Malta;;Slovenia;;2;0
2021/2022;Malta;;Sweden;;2;0
2021/2022;Malta;;Ukraine;;2;0
2021/2022;Malta;;Vietnam;;2;0
2021/2022;Montenegro;;Bosnia-Herzegovina;;2;0
2021/2022;Montenegro;;Croatia;;2;0
2021/2022;Montenegro;;Ecuador;;2;0
2021/2022;Montenegro;;Greece;;2;0
2021/2022;Montenegro;;Hungary;;2;0
2021/2022;Montenegro;;Iran;;4;0
2021/2022;Montenegro;;Moldova;;4;322866,4756
2021/2022;Montenegro;;Romania;;2;0
2021/2022;Montenegro;;Russia;;2;0
2021/2022;Montenegro;;Serbia;;12;0
2021/2022;Netherlands;;Australia;;4;0
2021/2022;Netherlands;;Austria;;4;0
2021/2022;Netherlands;;Belgium;;54;4112063,242
2021/2022;Netherlands;;Brazil;;6;4842997,134
2021/2022;Netherlands;;Canada;;2;0
2021/2022;Netherlands;;Cyprus;;12;363224,7851
2021/2022;Netherlands;;Denmark;;8;6154642,191
2021/2022;Netherlands;;Ecuador;;2;1950000
2021/2022;Netherlands;;England;;20;1487158,047
2021/2022;Netherlands;;Spain;;14;2116458,745
2021/2022;Netherlands;;Estonia;;4;9282411,174
2021/2022;Netherlands;;Finland;;2;0
2021/2022;Netherlands;;France;;4;0
2021/2022;Netherlands;;Georgia;;2;766807,8796
2021/2022;Netherlands;;Germany;;18;4802638,825
2021/2022;Netherlands;;Ghana;;2;0
2021/2022;Netherlands;;Greece;;10;0
2021/2022;Netherlands;;Hungary;;12;2608155,748
2021/2022;Netherlands;;Israel;;2;0
2021/2022;Netherlands;;Italy;;2;0
2021/2022;Netherlands;;Japan;;4;403583,0945
2021/2022;Netherlands;;Luxembourg;;2;0
2021/2022;Netherlands;;FYR Macedonia;;2;84752,44985
2021/2022;Netherlands;;Nigeria;;2;0
2021/2022;Netherlands;;Norway;;4;3127768,982
2021/2022;Netherlands;;Poland;;2;443941,404
2021/2022;Netherlands;;Portugal;;4;0
2021/2022;Netherlands;;Qatar;;4;0
2021/2022;Netherlands;;Romania;;4;0
2021/2022;Netherlands;;South Africa;;4;6961808,38
2021/2022;Netherlands;;Scotland;;2;0
2021/2022;Netherlands;;Serbia;;2;201791,5473
2021/2022;Netherlands;;Switzerland;;2;0
2021/2022;Netherlands;;Slovakia;;10;431833,9111
2021/2022;Netherlands;;Slovenia;;4;201791,5473
2021/2022;Netherlands;;Sweden;;12;32243943,35
2021/2022;Netherlands;;Turkey;;2;0
2021/2022;Netherlands;;United Arab Emirates;;2;0
2021/2022;Netherlands;;Uruguay;;8;13217346,35
2021/2022;Netherlands;;USA;;4;0
2021/2022;Netherlands;;Wales;;2;0
2021/2022;Northern Ireland;;England;;6;0
2021/2022;Northern Ireland;;Germany;;2;0
2021/2022;Northern Ireland;;Republic of Ireland;;34;0
2021/2022;Northern Ireland;;Scotland;;10;0
2021/2022;Norway;;Belgium;;6;391475,6017
2021/2022;Norway;;Bosnia-Herzegovina;;2;0
2021/2022;Norway;;Brazil;;2;0
2021/2022;Norway;;Côte d'Ivoire;;6;546865,152
2021/2022;Norway;;Cape Verde Islands;;2;41014,8864
2021/2022;Norway;;Costa Rica;;4;450000
2021/2022;Norway;;Czech Republic;;4;3632247,851
2021/2022;Norway;;Denmark;;20;3094942,535
2021/2022;Norway;;England;;16;13671,6288
2021/2022;Norway;;Spain;;10;0
2021/2022;Norway;;Estonia;;10;847524,4985
2021/2022;Norway;;Finland;;6;0
2021/2022;Norway;;France;;2;0
2021/2022;Norway;;Germany;;4;4,035830945
2021/2022;Norway;;Greece;;4;0
2021/2022;Norway;;India;;2;0
2021/2022;Norway;;Iceland;;20;814835,4764
2021/2022;Norway;;Italy;;6;1412540,831
2021/2022;Norway;;Jamaica;;2;825000
2021/2022;Norway;;Kazakhstan;;2;0
2021/2022;Norway;;Moldova;;2;0
2021/2022;Norway;;Malta;;2;0
2021/2022;Norway;;Netherlands;;4;0
2021/2022;Norway;;Nigeria;;12;2387345,344
2021/2022;Norway;;Paraguay;;2;300000
2021/2022;Norway;;Poland;;6;1412540,831
2021/2022;Norway;;South Africa;;2;0
2021/2022;Norway;;Scotland;;2;928241,1174
2021/2022;Norway;;Senegal;;18;2442283,096
2021/2022;Norway;;Serbia;;4;3269023,066
2021/2022;Norway;;Sweden;;32;8624012,632
2021/2022;Norway;;Tunisia;;2;0
2021/2022;Norway;;Turkey;;4;0
2021/2022;Norway;;Uruguay;;4;90000
2021/2022;Norway;;USA;;12;0
2021/2022;Poland;;Argentina;;2;0
2021/2022;Poland;;Armenia;;2;0
2021/2022;Poland;;Austria;;2;0
2021/2022;Poland;;Azerbaijan;;2;0
2021/2022;Poland;;Belgium;;6;8051482,735
2021/2022;Poland;;Belarus;;14;300000
2021/2022;Poland;;Brazil;;20;0
2021/2022;Poland;;Bulgaria;;10;1210749,284
2021/2022;Poland;;Canada;;4;0
2021/2022;Poland;;Cameroon;;2;0
2021/2022;Poland;;Croatia;;4;0
2021/2022;Poland;;Cyprus;;26;0
2021/2022;Poland;;Czech Republic;;16;1331824,212
2021/2022;Poland;;England;;4;0
2021/2022;Poland;;Spain;;12;0
2021/2022;Poland;;Estonia;;2;0
2021/2022;Poland;;France;;4;0
2021/2022;Poland;;Georgia;;8;1513436,604
2021/2022;Poland;;Germany;;18;0
2021/2022;Poland;;Ghana;;2;100895,7736
2021/2022;Poland;;Greece;;22;0
2021/2022;Poland;;Honduras;;2;908061,9626
2021/2022;Poland;;Hungary;;2;0
2021/2022;Poland;;Israel;;16;1917019,699
2021/2022;Poland;;Italy;;2;0
2021/2022;Poland;;Japan;;2;0
2021/2022;Poland;;Lithuania;;4;129550,1733
2021/2022;Poland;;Latvia;;6;0
2021/2022;Poland;;Mexico;;2;0
2021/2022;Poland;;FYR Macedonia;;2;0
2021/2022;Poland;;Malta;;2;161433,2378
2021/2022;Poland;;Montenegro;;8;524658,0229
2021/2022;Poland;;Netherlands;;6;1004210,204
2021/2022;Poland;;Norway;;2;0
2021/2022;Poland;;Puerto Rico;;2;0
2021/2022;Poland;;Romania;;2;0
2021/2022;Poland;;South Africa;;2;0
2021/2022;Poland;;Russia;;10;80716,6189
2021/2022;Poland;;Scotland;;2;0
2021/2022;Poland;;Serbia;;6;1816123,925
2021/2022;Poland;;Slovakia;;30;923177,0828
2021/2022;Poland;;Slovenia;;2;0
2021/2022;Poland;;Sweden;;2;0
2021/2022;Poland;;Trinidad and Tobago;;2;20019,74985
2021/2022;Poland;;Tunisia;;4;0
2021/2022;Poland;;Turkey;;6;0
2021/2022;Poland;;Ukraine;;28;0
2021/2022;Poland;;USA;;4;0
2021/2022;Portugal;;Algeria;;2;2421498,567
2021/2022;Portugal;;Angola;;2;0
2021/2022;Portugal;;Argentina;;6;9087884,122
