text,positive,lemm_text
"Ааааааа досмотрела я его:*
#АнгелилиДемон:* 
серия просто супер",1,ааааааа досмотреть я он ангелилидемон серия просто супер 
"@RakshaRaksinka воу, спасибо:3
просто я иду на японский, вообще мало что зная о нём:D",1,воу спасибо просто я идти на японский вообще мало что знать о он 
@edvard146 даааа без пятничного твита в пятницу тут делать нечего))),1,даааа без пятничный твит в пятница тут делать нечего 
Машуляшенька) солнышко) *** Happy Birthday) iv_@iv_London,1,машуляшенек солнышко 
"Как будто я виновата, что ты жопой думаешь, а не головой :)",1,как будто я виноватый что ты жопа думать а не голова 
"Медведев: ""Партия Единая Россия - это кусок нашей страны"". Ага-ага, говна кусок!)",1,медведев партия единый россия это кусок наш страна ага ага говно кусок 
"Первый раз готовила спагетти,у меня получилось и я очень рада) http://t.co/xaubtn3BfA",1,один раз готовить спагетти у я получиться и я очень рада 
Какой будет эта зима? — Незабываемой!:) http://t.co/1dxjrOgQpw,1,какой быть этот зима незабываемый 
"в детстве все начиналось со слов: ""выйдешь сегодня?""))) #FOLLOW",1,в детство весь начинаться с слово выйти сегодня 
Какой будет эта зима? — Чувствую хорошая)) http://t.co/dUG3ORofTg,1,какой быть этот зима чувствовать хороший 
"2 дня *О* 
P.s нагло тырю фотки с инсты х) http://t.co/TNKrs2BwSZ",1,день о нагло тырить фотка с инст х 
"Целую неделю пью кофе с лимоном, кажется я подсел на него)",1,целовать неделя пить кофе с лимон кажется я подсесть на он 
Есть женщины в русских селеньях...Их бабами нежно зовут...Слона на скаку остановят и хобот ему оторвут :D:D:D ,1,есть женщина в русский селение они баба нежно звать слон на скак остановить и хобот он оторвать 
"Валерон: ""Во, Дашка, свой человек!"" :D
Совесть: ""Нда-да-да"" :D",1,валерон в дашка свой человек совесть нда да да 
"@lerkiins плак, Леря спать
если не просплю до 7, то иду
позвони мне в 5 где- нибудь?:D",1,плак лерь спать если не проспать до то идти позвонить я в где нибыть 
"RT @SOLYANOV: УРА,! RT  @Stasya_ru Друзья! Сегодня с 19 до 20.00 жду вас в твиткаме) будем общаться )) готовьте вопросы",1,ура друг сегодня с до ждать вы в твиткама быть общаться готовить вопрос 
"@Android045 @Android0451 @DJAMcoy ...стараюсь, а эти хорошие слова ...к вам тоже относятся!)))",1,стараться а этот хороший слово к вы тоже относиться 
"""@munh_amidral: Заа...санхүүчдийн баяр тэмдэглэе :-))"" тэмдэглэж байна шд",1,заа санх чдийна баяр тэмдэглэя тэмдэглэж байн шд 
"момент,когда у комментария лайков больше,чем у самой картинки х) http://t.co/HxoDrITn75",1,момент когда у комментарий лайковый большой чем у самый картинка х 
"@shiel_adams я ваще пропустила это мимо ушей, к чертям эту тему)))))))) че в 9 серии они за хуйню сотворили)))",1,я ващий пропустить это мимо ухо к чёрт этот тема че в серия они за хуйня сотворить 
"@Dasha_2912 Зато новый год единственный день,когда вся моя семья в сборе:)
Мы отмечали нг так как ты,пока в москву не переехали.весело было)",1,зато новый год единственный день когда весь мой семья в сбор мы отмечать нг так как ты пока в москва не переехать весело быть 
@gennadiyorlov @gennorlov Я пока что никого не выбрала))),1,я пока что никто не выбрать 
"Поскольку дома никаво нит я купил сибе 2 бпшки и заварил :D
Родные убили бы миня :D",1,поскольку дом никаво нит я купить сиб бпшка и заварить родные убить бы минь 
@lisi_Ca @maybe_reg49_27 вот так примерно надо будет всем улыбаться и с удовольствием давать пузо)) http://t.co/rx2xHyMybz,1,вот так примерно надо быть весь улыбаться и с удовольствие давать пузо 
"@rimshaaa99  ахаха:*
а мы не зазвездемся  случаем? аха:*",1,ахах а мы не зазвездесться случаем аха 
"RT @zijyguhoposi: Упал телефон, поднимаю говорит ""Sim dislodged..."" :)",1,упасть телефон поднимать говорить 
"@only_069 Я ВАПЩЕ МЕЛОЧ МНИ 13 )
11 АПРЕЛЯ БУДИТ 14",1,я вапщий мелочий мнить апрель будить 
"по-моему, лошадь испугалась Тао:D по глазам вижу:D http://t.co/j8suv8bwkJ",1,по мой лошадь испугаться тао по глаз видеть 
"RT @krejgellington: грустно, когда хочется обнять человека, а перед тобой монитор :):):)хах",1,грустно когда хотеться обнять человек а перед ты монитор хах 
@gwalchopyrite ведет! после этого в ней можно больше не искать смысла. и всё становится настолько проще и легче),1,вести после это в она можно большой не искать смысл и весь становиться настолько простой и лёгкий 
Так круто пообщались) здорово иногда к родственникам приезжать),1,так круто пообщаться здорово иногда к родственник приезжать 
RT @CrocoErmek: @WeCanHandle У меня такой же беспорядок) кстати РТ за Нойз мс)),1,у я такой же беспорядок кстати рт за нойз мс 
"RT @MariaNaumets: да-да..Гейропа это ужасно.да.
Вот молодая семья,30-летний певец Прохор Шаляпин и супруга 57-лет,бизнес-вумен) http://t.co…",1,да да гейроп это ужасно да вот молодая семья летний певец прохор шаляпин и супруг год бизнес вумный 
Идёшь на концерт известного артиста? Не забывай блокнот для автографа:),1,идти на концерт известный артист не забывать блокнот для автограф 
"@Mooney_Lupin в тот момент я носилась по квартире как угорелая :D
 Как дела? :3",1,в тот момент я носиться по квартира как угорелый как дело 
кто на танцы ходит? — красавицы) http://t.co/wYdW5G5C7i,1,кто на танец ходить красавица 
Еркем менің. Ағасының қуанышы нұр сыйлаған) http://t.co/DNDWhi3zka,1,еркать мена а асын уаныш наш р сыйл ан 
"@I_fall_down пойду насплюсь :D 
вечерком зайду :З http://t.co/Ln98Hp7QGT",1,пойти наспаться вечерком зайти з 
@Andreeva_Ns @milky_way05 ты чего:D я вообще одна буду кататься:D,1,ты что я вообще один быть кататься 
"салаты, торты, шоколад в ленте...))) это издевательство )))",1,салат торт шоколад в лента это издевательство 
"Новосибирск не стал исключением, и здесь #олимпийскийогонь тоже потух) Говорят, 40 раз за весь марафон это произошло уже)",1,новосибирск не стать исключение и здесь олимпийскийогонь тоже потухнуть говорят раз за весь марафон это произойти уже 
RT @leris_maximus: Дэрэ Белиссимо ... в оперетте :) пушкарю :) http://t.co/k4YM6xZm6q,1,дэрэ белиссимо в оперетта пушкарь 
@babenchikchik помню немного иную интерпретацию этого выражения),1,помнить немного иной интерпретация это выражение 
"Решила опробовать новые формочки :) такое ням-ням, ммм ",1,решить опробовать новое формочка такой ням ням ммм 
"И я так эпично позвала СВ, ору во все горло, но услышала)",1,и я так эпичный позвать св орать в весь горло но услышать 
RT @arina_podmareva: Леша над тобой весь тви ржет:))),1,лёша над ты весь тви ржать 
Из окна в общаге) #snow #winter http://t.co/597yZNzJsj,1,из окно в общага 
"@Gwenvivar пришел чудесный конверт ♥ я давно не получала таких длинных, интересных и искренних писем, спасибо большое ♥♥ отвечаю сразу! :)",1,прийти чудесный конверт я давно не получать такой длинный интересный и искренний письмо спасибо большой отвечать сразу 
"подруга вытащила 3 твиттерских из баночки 
так что скоро всё узнаете
но наверно не кто уже и не ждёт :)",1,подруга вытащить твиттерский из баночка так что скоро весь узнать но наверно не кто уже и не ждать 
"хаха гоё! ""@Batuka_UB: @UBMONGOL Эрэгтэй хунийг дайлах болов уу :) @GandanStyle""",1,хах гоё эрэгтэй хунийг дайла бол уу 
Вечер. Последний рабочий день в этом году. Возвращаюсь домой под приятную музыку) http://t.co/hdeQ4VZe3j,1,вечер последний рабочий день в это год возвращаться домой под приятный музыка 
"@Drozhdina Взаимно!)) Пятница, никак))) И это не может не радовать!!!",1,взаимно пятница никак и это не мочь не радовать 
"Ахахахах если это Шунин я поржу, а так спасибо аноним) http://t.co/B13w1bki3W",1,ахахахи если это шунина я поржать а так спасибо аноним 
"RT @NatAfrica_: Страшно представить,сколько людей в мире занимаясь сексом называют друг друга Мисс Стил и Мистер Грей)",1,страшно представить сколько человек в мир заниматься секс называть друг друг мисс стить и мистер греть 
@StickyDaemon а я не про сам сайт) а про магазины остальные),1,а я не про сам сайт а про магазин остальной 
@Anastasiya_6277  с Днищем Дорогой мой:33желаю тебе любви .счастья.удачи и поездки в Париж:) http://t.co/pr3ftZ6hez,1,с днище дорогой мой желать ты любовь счастие удача и поездка в париж 
"@sbezrodnaya Светлана Борисовна,СПАСИБО за Нино Рота))) В пути наслаждалась)))
А у меня сегодня день в темпе ТОКАЙ)) http://t.co/8hGDSPHFDG",1,светлана борис спасибо за нино рота в путь наслаждаться а у я сегодня день в темп токай 
"Ну что, настало время первого котопоста в моем бложеге.   — Вот, желтый кот на фоне рыжего ) разница видна :)",1,ну что настать время первое котопост в мыть бложега вот жёлтый кот на фон рыжий разница видный 
@MorientasPerm по любому молодчина - первый пьедестал в карьере ),1,по любой молодчина один пьедестал в карьера 
RT @Stasya_ru: Друзья! Сегодня с 19 до 20.00 жду вас в твиткаме) будем общаться )) готовьте вопросы,1,друг сегодня с до ждать вы в твиткама быть общаться готовить вопрос 
@ipractician не понял. я брал на кикстартере за 25 баксов. все чин чинарем. а вот они в китае взяли по баксу за 10ок :),1,не понять я брать на кикстартер за бакс весь чин чинарем а вот они в китай взять по бакс за ок 
@Fucking_Norton а ну тогда у нас тоже нихуёвое такое метро :-),1,а ну тогда у мы тоже нихуёвой такой метро 
"Всегда бы такую погоду как сегодня. мороза нет, ветра нет и только снег падает) красота.",1,всегда бы такой погода как сегодня мороз нет ветер нет и только снег падать красота 
Завтра моей сестре исполняется 22 года...) Офигеть) Как быстро время летит)),1,завтра мой сестра исполняться год офигеть как быстро время лететь 
"Катя возьми телефон, это он, это он звонит
:D
 #СоколовскийЯХочуТебя",1,катя взять телефон это он это он звонить соколовскийяхочутести 
"RT @JohnnyRayman: Большинство нынешних протестантов, во время протестов, дома сидят)",1,большинство нынешний протестант в время протест дом сидеть 
"Набрал себе, для изучения, чертову дюжину инди-игр. Надо знать врага в лицо) http://t.co/N6bJ0laY12",1,набрать себя для изучение чёртов дюжина инди игра надо знать враг в лицо 
Мб заказать папиным деткам малюсеньким? Братууу :) http://t.co/P6oL6WBUEO,1,мб заказать папин детка малюсенький братууа 
@ARMANIBAZARJOK @EldosKalabok мени не ушин мазактайды десем. акындар коп ишеди екен гой енди тусиндим!)))),1,менить не ушина мазактайд десема акындар копа ишедя екен гой енди тусиндим 
"Как относишься к своим новым одноклассникам? А как к классному ру... — Хорошо) 
Кл рук бесит, если честно :/ ухахах http://t.co/Ruzfse4FXs",1,как относиться к свой новый одноклассник а как к классный ру хорошо кл рука бесить если честно ухахи 
"RT @ciguqihir: Интернет отключился, не получив оплаты. Но! Джаббер и скайп работают)",1,интернет отключиться не получить оплата но джаббер и скайп работать 
RT @OtgonbayarY: @OtgonbayarT халимагтаа Мало дербетский улус хамгийн хеерхен хvvхэнтэй гэдгийм билээ :-)),1,халимагтаа мало дербетский улус хамгийна хеерхен х хэнтэй гэдгийм билээ 
"@Maria_Brovko @pornoromantic конечно, нет)))) у нас же ток тявкают! Зато знают кто такой пол уокер и скорбят прям!",1,конечно нет у мы же ток тявкать зато знать кто такой половина уокер и скорбеть прям 
"Спасибо ребят)
Подняли настроение http://t.co/OR1EjVFULQ",1,спасибо ребята поднять настроение 
Какой будет эта зима? — незабываемой) http://t.co/9OBtSR8hg6,1,какой быть этот зима незабываемый 
"@imerkouri  На рублевке новый бум, все срочно ставят уржавители воды! А вдруг Владимир Владимирови с Дмитрием Анатольевичем заедут;)",1,на рублёвка новый бум весь срочно ставить уржавитель вода а вдруг владимир владимировить с дмитрий анатолий заехать 
@yulia_Skitls я думаю что-то из этих товаров отлично подойдет для мамы) http://t.co/cvkWSlNnbE,1,я думать что то из этот товар отлично подойти для мама 
"Жру, бл хахах
А еще пытаюсь брата убедить, что мне не нужны от него подарки :)",1,жрать бл хахи а ещё пытаться брат убедить что я не нужный от он подарок 
"Ваахахахах, поговорила с его мамой по скайпу)))
Она сказала: "" - таких милых девочек, никогда в жизни не видела.."" , приятно то как)*",1,ваахахах поговорить с он мама по скайп она сказать такой милый девочка никогда в жизнь не видеть приятно то как 
"@fanta_lady ой, і наша мінулы тыдзень хадзіла і казала ўсім што шукае пхапэшніка)",1,ой наш метр нул тыдзень хадз ла казать с метр что шукай пхапэшн ка 
@littleraccoon23 очинь хавхавх юойся меня :D мм меня не спрашивали я не писал просто тупо смотрел на доску КАААЙФ азазаа,1,очинь хавхавха юыться я мм я не спрашивать я не писать просто тупо смотреть на доска кааайф азазаа 
RT @Lineloy: ТЕХАССКАЯ РЕЗНЯ БЕНЗОПИЛОЙ:D http://t.co/6wOH87E22g,1,техасский резня бензопила 
"http://t.co/MM6mRylQYz- ИТОГИ ГОДА!
самое смешное видео :DD",1,итог год самый смешной видео 
"“@asebrant: Простите, что только для пользователей iOS - но это лучшее приложение в пятницу ;))  спасибо @Creolazy https://t.co/5TIEXWcBRq”",1,простить что только для пользователь но это хороший приложение в пятница спасибо 
@19_dasha97 @KNadtocheeva Расскажи ему о предохранении))),1,рассказать он о предохранение 
"@ART_Versus я тоже напьюсь от радости в тот момент, когда я кому-нибудь буду звонить не по делу)",1,я тоже напиться от радость в тот момент когда я кома нибыть быть звонить не по дело 
"@Bakiich Большое при большое спасибо и от мамы, и от меня тоже)))",1,большой при большой спасибо и от мама и от я тоже 
Как же хорошо быть с тем кого ты реально любиш)))^ -^,1,как же хорошо быть с тем кто ты реально любиш 
@mcqueen121 @yulyasikus тебе можно не носить колготки) а вот автор зря так делает,1,ты можно не носить колготки а вот автор зря так делать 
"@Enotik777 я её так не называл)))я сказал,что мне показалось :Р",1,я её так не называть я сказать что я показаться р 
"@billiejoeskon отлично))
Как в школе?
Чем занимаешься?",1,отлично как в школа чем заниматься 
"завтра у Литвинушки начёёёва :333 мама кааак всегда -""своего дома нет?"" нууу отпустила всё равноооо)))",1,завтра у литвинушка начёёёвый мама кааак всегда свой дом нет нууа отпустить весь равноооо 
"@By_iolanta ну вообще да,весело) и не скучно,просто у друзей есть сын,он одноклассник мой,поэтому не так скучно)",1,ну вообще да весело и не скучно просто у друг есть сын он одноклассник мой поэтому не так скучно 
RT @Sktrets: Сегодня хороший день:) http://t.co/AD19VaBJVS,1,сегодня хороший день 
"@Ditricha Заявку подали, оплатили, но сказали, что нужно ещё подождать несколько дней до полного подтверждения, так что пока не точно)",1,заявка подать оплатить но сказать что нужно ещё подождать несколько день до полный подтверждение так что пока не точно 
"@iam_lera ну, у каждого свое мнение:)лови Эмильку http://t.co/UmFuNvsMVm",1,ну у каждый свой мнение ловить эмилька 
"Моя дочуся совсем выросла, скоро будет годик как она живет с нами, моя малюська совсеем взрослая и толстая))",1,мой дочаться совсем вырасти скоро быть годик как она жить с мы мой малюська совсей взрослый и толстой 
"@is_brian_kinney Поехали! :DD Чувак, мы прямо родственные души :D",1,поехать чувак мы прямо родственный душа 
"впервые!!! еще далеко до нового года, а я уже знаю где я буду гулять))
такого не было!!)",1,впервые ещё далеко до новое год а я уже знать где я быть гулять такой не быть 
Тяпничное. Зимнее. Невоспетые герои финской войны – советские прирученные боевые лоси :))) http://t.co/uGPKZXPnaz,1,тяпничный зимний невоспетый герой финский война советский приручить боевой лось 
@sonyareedus ахах да давно уже встречаются) хотя я сама в шоке была),1,ахи да давно уже встречаться хотя я сам в шок быть 
"Ааааааааааааа уже через 5 минут он приеедет;)
Урааааа, как же я ждала:)",1,ааааааааааааа уже через минута он приеехать урааааа как же я ждать 
"Кстати, интересно. Вот знаю, что у меня читатели в основном из России, но есть еще Украина, США и Англия. Есть ли еще другие страны? :)",1,кстати интересно вот знать что у я читатель в основное из россия но есть ещё украина сша и англия есть ли ещё другой страна 
"@noshnoi ходи пешком, это чудесно! :)) http://t.co/B6puKYZBvw",1,ходить пешком это чудесно 
"RT @oluakurakova: @Vermenich_ первый раз я так тоже подумала, а теперь обожаю просто) но, как говорится, всё это на любителя)",1,один раз я так тоже подумать а теперь обожать просто но как говориться весь это на любитель 
"Офигенный день!
день позитива)
бегал как идиот целый день!
танцы офигенны, хоть я и ракал но мне очень понравилось!",1,офигенный день день позитив бегать как идиот целый день танец офигенный хоть я и ракать но я очень понравиться 
RT @ymmaastigomay: рабоать пока не очень надоело )) но думаю это уже не надо лго ),1,рабоать пока не очень надоесть но думать это уже не надо лго 
500-й пост уже в этом инстаграме) http://t.co/aUos6pAzSi,1,й пост уже в это инстаграм 
горячий чай так помогает мне! :) ^^ немного облегчает ,1,горячий чаять так помогать я немного облегчать 
"@lemmejoin С Днем рождения, Лиза!:) любви, хороших друзей и счастья тебе!:)",1,с днём рождение лиза любовь хороший друг и счастие ты 
Интересные вещи творились тогда)) http://t.co/jK7W5Lr9l0,1,интересный вещий твориться тогда 
Настало время посмотреть что за игра такая Robotek :),1,настать время посмотреть что за игра такой 
"@BystrovaIrisha Да блиин,ахаха,это кароче не я )))
за меня кое-кто другой сидел прост,половину моих друзей поудалял",1,да блиина ахах это кароч не я за я кой кто другой сидеть простой половина мой друг поудалять 
Ну и сам шпицрутен это конечно же Spie?rutenlaufen. Куда же мы без немцев %) #смешно,1,ну и сам шпицрутен это конечно же куда же мы без немец смешно 
"RT @KSemenov: Из разговора: ""причина увольнения - Full house"" :)",1,из разговор причина увольнение 
@newaviator а пилотировать то она будет сегодня?:) Доверишь?:),1,а пилотировать то она быть сегодня доверить 
"@Olgana1000000 нет...предупреждает, что их власть надолго...но думаю опять переоценил он свои возможности..алкоголь не даст дожить до 70))",1,нет предупреждать что они власть надолго но думать опять переоценить он свой возможность алкоголь не дать дожить до 
"Не пошли на репетицию, зато хорошо погуляли вчетвером ;)",1,не послать на репетиция зато хорошо погулять вчетвером 
"@Shumkova0406199 ниит, Лешка хороший, просто постебаться любит, особенно надо мной, у нас это уже в порядке вещей подкалывать друг друга :DD",1,ниит лешек хороший просто постебаться любить особенно надо я у мы это уже в порядок вещий подкалывать друг друг 
ооо... началась война цен на e-ink устройства :) Радует,1,ооо начаться война цена на устройство радовать 
"""мне иногда хочется, чтобы у меня были сиськи. нет, ничего такого. просто руки иногда девать некуда"" :DD",1,я иногда хотеться чтобы у я быть сиська нет ничто такой просто рука иногда девать некуда 
"RT @ollivercom: цитрон, я не дам тебе пришить мне яички :-)",1,цитрон я не дать ты пришить я яичко 
"кстати, муж, прости что не ответил сегодня, у меня мани кончились:D",1,кстати муж простить что не ответить сегодня у я маня кончиться 
"Вова сидит и ногами бултыхает,а со стороны не так понятно)а я спросила:""наяриваешь?""ахах,и все в упадке:-D",1,вова сидеть и нога бултыхать а с сторона не так понятно а я спросить наяривать ахи и весь в упадок 
"Кирова позвонила и плачет в трубку,после того как узнала о победе)и как я только понимаю что она мне говорит сквозь слезы!#VIXX1stWIN",1,киров позвонить и плакать в трубка после тот как узнать о победа и как я только понимать что она я говорить сквозь слеза 
"вот это нооовости
оличноооо
самое главное,чтобы получилось всё))",1,вот это нооовость оличноооо самый главный чтобы получиться весь 
Обоги мой чудесный сосед слушает Ани Лорак на всю. За чтоо?:D,1,обог мой чудесный сосед слушать ани лорак на весь за чтоо 
Опааа)) Нашлось фото с Глендейла ахахах http://t.co/ZTzigG6Bh1,1,опааа найтись фото с глендейл ахахи 
Carnival Phantasm всё! Адов ёбаный пиздец! Ржал как конь. =) Сэйбер в роли служанки ваще пиздец.,1,весь адов ёбаный пиздец ржать как конь сэйбер в роль служанка ващий пиздец 
"А чё никто не обсуждает апдейт PR? http://t.co/g0ewCeM8Zm
#ruseo #ru_seo #google
Тире заменить на точку)",1,а чё никто не обсуждать апдейт тире заменить на точка 
"RT @OliverKeehl: - ты не поверишь какие сексапильные, очешуенные парни у меня в комнате *-* 
- опять плакаты купила? :D 
- дааа *о*",1,ты не поверить какой сексапильный очешуенный парень у я в комната опять плакат купить дааа о 
"@Olga_Zaretskaya и еще привет я, если ты не забыла, хаха, я сейчас одеваться буду)",1,и ещё привет я если ты не забыть хах я сейчас одеваться быть 
@BiFkun @ReZ2701 Все эти цифры и разноцветность вызвали ассоциацию с паровозиком томасом. :),1,весь этот цифра и разноцветность вызвать ассоциация с паровозик томас 
лучшая мотивация для занятий алгеброй) http://t.co/dzYOtfBl8T,1,хороший мотивация для занятие алгебра 
Пятница вечер. И снова отмечаем) http://t.co/cVIrL3KKDQ,1,пятница вечер и снова отмечать 
"@splikhvi @5umm у меня школа без медали, универ без корочки и жизнь отличная, не скучная) причем твоя медаль к отличной жизни? Есть связь?",1,у я школа без медаль универ без корочка и жизнь отличный не скучный причём твой медаль к отличный жизнь есть связь 
"@____tanya_____ у тебя сразу массаж сердца получился? у меня ручонки слабые,пришлось прыгать на Максютке,чтобы хорошо надавить:)))",1,у ты сразу массаж сердце получиться у я ручонка слабый прийтись прыгать на максютка чтобы хорошо надавить 
"В современной жизни, действительно так) http://t.co/BrPwhKnEbF",1,в современный жизнь действительно так 
"@Irish_underdog успехов тебе)
У меня такие же планы, только позаниматься еще хочу",1,успех ты у я такой же план только позаниматься ещё хотеть 
"@OMedeer как стрелец стрельцу, желаю больше халявы, ю ноу)",1,как стрелец стрелец желать большой халява ю ноу 
"Подарок от Юльки. Когда отдавала,сказала что я в жизни няша,улыбаша,скромняша и т.д. :-) http://t.co/yaxYUdzEmV",1,подарок от юлька когда отдавать сказать что я в жизнь няша улыбаш скромняша и том далее 
"@Alexander_ae_ я узнаю об этом только, если постигну учение дзынь-мынь, но такого не постичь. поэтому буду думать, что все таки шейх)",1,я узнавать о это только если постичь учение дзыть мынь но такой не постичь поэтому быть думать что весь таки шейх 
@@Kate_Unagi приеееет:3 давно не списывались:)  как ты хоть поживаешь моя сосика в тесте:),1,приеееть давно не списываться как ты хоть поживать мой сосик в тест 
"уехала в деревню,спонтанное решение родителей меня радует):*",1,уехать в деревня спонтанный решение родитель я радовать 
"RT @Angry_warden: Катя возьми телефон, это он, это он звонит
:D
 #СоколовскийЯХочуТебя",1,катя взять телефон это он это он звонить соколовскийяхочутести 
"ЛЮБЛЮ БЕЗУМНО!!!!*** С юбилеем, старушка!)) Обожаю тебя**))) http://t.co/NeLqgDFeJJ",1,любить безумно с юбилей старушка обожать ты 
"@Kafka_Frank Сойдет, но хочу лучше. Сесссия скоро, нужно готовиться, учить...веселые выходные намечаются.)",1,сойти но хотеть хороший сесссия скоро нужно готовиться учить весёлый выходной намечаться 
@DuDlik_SPB эти строки даж в тексте материала есть ),1,этот строка даж в текст материал есть 
@DTransporta http://t.co/Jx1kgB5ZRu Смотрится гораздо красивее купленных нами БКМов... Не правда ли?),1,смотреться гораздо красивый купить мы бкм не правда ли 
"Ахаха,ребят,это была лучшая репетиция)
Пьяный мужик на кублуках доволен:D",1,ахах ребята это быть хороший репетиция пьяный мужик на кублука довольный 
@pazitiffko если ты там конечно будешь:) могу к тебе на неделе подъехать))),1,если ты там конечно быть мочь к ты на неделя подъехать 
"Вечерний город красивый:)
без пробок бы еще добраться до дому;)",1,вечерний город красивый без пробка бы ещё добраться до дом 
Счастливый обладатель iphone 5c :-) http://t.co/YqZnfGr4yK,1,счастливый обладатель 
дома всегда хорошо.даже с этой идиоткой)) http://t.co/Z5ObSduuCv,1,дом всегда хорошо даже с этот идиотка 
"Нет, не холодно )) #зима #щ1ы1э #л1о #вмашине #жду #минутнаяскука @ ТРЦ ""Россия"" http://t.co/fNhTW9T2cE",1,нет не холодный зима щ ы э литр о вмашин ждать минутнаяскук трц россия 
"Сдала документы на визу, надеюсь в январе попаду сюда;) http://t.co/2uRzNdYGjG http://t.co/rOOMzbxdxn",1,сдать документ на виза надеяться в январь попасть сюда 
"-Ахахахах
- Ты чо?
-Ахахахах
-Да успкойся!
-ахахахха
- Да ты достала Ксюшааа!!
-Ахаххаххаххаха
И вот так всю дорогу с Аллой:D",1,ахахахи ты чо ахахахи да успкоиться ахахахха да ты достать ксюшааа ахаххаххаххах и вот так весь дорога с алла 
"@KStruapikhina конечноооо
Я заставлю его там появиться!)",1,конечноооо я заставить он там появиться 
@TanyaKharina Ахаха..Дєвочка ти шось попутала Ранеток слухаєш ти...А я слухаю ахуєнні групи*До яких тобі ще рости і рости),1,ахах далее вочко ти шося попутать ранетка слух ш ти а я слухать аху нн групить до який тоб ще рость рость 
"Когда ребенок говорит -""Мама, еда в холодильнике, в интернете долго не не сиди!""- можно упасть со стула)))",1,когда ребёнок говорить мама еда в холодильник в интернет долго не не сидеть можно упасть с стул 
"Настя-пиздит от бога,когда говорит,что она уже вышла из дома:D",1,настя пиздить от бог когда говорить что она уже выйти из дом 
@castiel_dant Благодарю! И Вас с праздниками грядущими ;),1,благодарить и вы с праздник грядущий 
Впереди выходные и мы желаем всем студентам провести их максимально ударно:) И помните - session is coming....,1,впереди выходной и мы желать весь студент провести они максимально ударно и помнить 
"RT @dasha_murashko: Обсуждаем тех, кто поступает в пед :D",1,обсуждать тот кто поступать в пед 
Началось :) @alexmak @AppleInsider_ru http://t.co/6PIc4mtGNJ,1,начаться 
@boyazn_ludei такой?у меня такой же был) http://t.co/BZsDz8XMl0,1,такой у я такой же быть 
"RT @yanakarakchieva: Еще 5 месяцев, а уже сегодня сидели о Дойчланде во всю мечтали)",1,ещё месяц а уже сегодня сидеть о дойчланда в весь мечтать 
"Отличных выходных, друзья! :) http://t.co/3tjiIh1rxc",1,отличный выходной друг 
"@Alinaa_13 У меня примерно так же))  но фу, в прошлом году 73% было, а тут сложный бред дали. Фе.",1,у я примерно так же но фу в прошлое год быть а тут сложный бред дать фе 
Мой безумно обожаемый брат @g55_lover - наркоман)))) ,1,мой безумно обожать брат наркоман 
"@Nastina19 я думала сейчас будет что-то вроде шутки про Кропотова.
Да нет, просто давно так сложилось)",1,я думать сейчас быть что то вроде шутка про кропотов да нет просто давно так сложиться 
"@kris0605 вот так ахаха, правда, спасибо огромноеее)))))",1,вот так ахах правда спасибо огромноеий 
"Начинаю уроки делать, их мало, вот поел Таиландские фрукты)",1,начинать урок делать они мало вот поесть таиландский фрукт 
"Даже не знаю буду ли сюда выкладывать скрины игры , но трейлер точно выложу:D как будет готов )))",1,даже не знать быть ли сюда выкладывать скрин игра но трейлер точно выложить как быть готовый 
"RT @F1Popov: ПС Кстати, - 100 дней до Мельбурна! #чтотобудет :-)",1,пс кстати день до мельбурн чтотобыть 
